#date: 08.10.2020	time: 16:39:38
#t (s)	f (Hz)	A1 (V)	A2 (V)	phase (deg)	|Z| (Ohm)	Arg Z (Ohm)	Re Z (Ohm)	Im Z (deg)
24.34	2.4000E+5	3.7311	0.8062	-1.0	5.375E+1	+1.3	5.37E+1	1.20E+0
24.52	2.5000E+5	3.7266	0.8057	-1.3	5.378E+1	+1.7	5.38E+1	1.56E+0
24.71	2.6000E+5	3.7296	0.8060	-0.6	5.376E+1	+0.8	5.38E+1	7.18E-1
24.89	2.7000E+5	3.7281	0.8068	+0.7	5.385E+1	-0.9	5.38E+1	-8.40E-1
25.07	2.8000E+5	3.7266	0.8068	-1.3	5.388E+1	+1.7	5.39E+1	1.56E+0
25.25	2.9000E+5	3.7347	0.8077	+0.7	5.381E+1	-0.9	5.38E+1	-8.39E-1
25.45	3.0000E+5	3.7252	0.8072	-1.3	5.394E+1	+1.7	5.39E+1	1.56E+0
25.67	3.1000E+5	3.7298	0.8086	-1.4	5.397E+1	+1.8	5.39E+1	1.68E+0
25.87	3.2000E+5	3.7286	0.8098	-1.5	5.409E+1	+1.9	5.41E+1	1.81E+0
26.05	3.3000E+5	3.7364	0.8102	-3.1	5.396E+1	+4.0	5.38E+1	3.72E+0
26.24	3.4000E+5	3.7262	0.8094	-0.8	5.411E+1	+1.0	5.41E+1	9.65E-1
26.42	3.5000E+5	3.7307	0.8102	+0.8	5.410E+1	-1.0	5.41E+1	-9.65E-1
26.60	3.6000E+5	3.7349	0.8112	-2.0	5.409E+1	+2.6	5.40E+1	2.41E+0
26.80	3.7000E+5	3.7296	0.8116	-2.0	5.423E+1	+2.6	5.42E+1	2.42E+0
26.98	3.8000E+5	3.7283	0.8120	-2.1	5.429E+1	+2.7	5.42E+1	2.54E+0
27.17	3.9000E+5	3.7252	0.8115	-1.7	5.430E+1	+2.2	5.43E+1	2.06E+0
27.35	4.0000E+5	3.7221	0.8118	-2.4	5.437E+1	+3.1	5.43E+1	2.91E+0
27.53	4.1000E+5	3.7364	0.8143	-2.8	5.432E+1	+3.6	5.42E+1	3.39E+0
27.73	4.2000E+5	3.7311	0.8143	-2.7	5.442E+1	+3.5	5.43E+1	3.28E+0
27.92	4.3000E+5	3.7287	0.8130	-1.3	5.437E+1	+1.7	5.43E+1	1.58E+0
28.13	4.4000E+5	3.7232	0.8127	-1.7	5.445E+1	+2.2	5.44E+1	2.07E+0
28.32	4.5000E+5	3.7256	0.8142	-3.5	5.449E+1	+4.5	5.43E+1	4.25E+0
28.51	4.6000E+5	3.7224	0.8142	-1.0	5.459E+1	+1.3	5.46E+1	1.22E+0
28.70	4.7000E+5	3.7265	0.8144	-2.9	5.451E+1	+3.7	5.44E+1	3.53E+0
28.88	4.8000E+5	3.7173	0.8137	-2.7	5.463E+1	+3.5	5.45E+1	3.29E+0
29.08	4.9000E+5	3.7257	0.8164	-0.7	5.472E+1	+0.9	5.47E+1	8.56E-1
29.31	5.0000E+5	3.7233	0.8161	-1.3	5.474E+1	+1.7	5.47E+1	1.59E+0
29.50	5.1000E+5	3.7257	0.8174	-2.4	5.479E+1	+3.1	5.47E+1	2.94E+0
29.68	5.2000E+5	3.7194	0.8167	-1.1	5.486E+1	+1.4	5.48E+1	1.35E+0
29.88	5.3000E+5	3.7358	0.8184	-1.7	5.469E+1	+2.2	5.47E+1	2.08E+0
30.08	5.4000E+5	3.7266	0.8174	-1.3	5.479E+1	+1.7	5.48E+1	1.59E+0
30.26	5.5000E+5	3.7205	0.8187	-2.4	5.500E+1	+3.1	5.49E+1	2.95E+0
30.44	5.6000E+5	3.7242	0.8198	-1.0	5.504E+1	+1.3	5.50E+1	1.23E+0
30.64	5.7000E+5	3.7255	0.8205	-2.1	5.507E+1	+2.7	5.50E+1	2.59E+0
30.83	5.8000E+5	3.7276	0.8204	+0.1	5.503E+1	-0.1	5.50E+1	-1.23E-1
31.01	5.9000E+5	3.7265	0.8210	-2.7	5.508E+1	+3.5	5.50E+1	3.33E+0
31.19	6.0000E+5	3.7214	0.8208	-0.7	5.518E+1	+0.9	5.52E+1	8.65E-1
31.37	6.1000E+5	3.7252	0.8217	-1.4	5.518E+1	+1.8	5.51E+1	1.73E+0
31.56	6.2000E+5	3.7270	0.8221	-1.4	5.518E+1	+1.8	5.52E+1	1.73E+0
31.76	6.3000E+5	3.7181	0.8224	-0.8	5.538E+1	+1.0	5.54E+1	9.93E-1
31.96	6.4000E+5	3.7287	0.8229	-2.8	5.520E+1	+3.6	5.51E+1	3.46E+0
32.16	6.5000E+5	3.7192	0.8229	-1.7	5.540E+1	+2.2	5.54E+1	2.11E+0
32.36	6.6000E+5	3.7281	0.8246	-2.4	5.536E+1	+3.1	5.53E+1	2.98E+0
32.59	6.7000E+5	3.7280	0.8245	-3.1	5.534E+1	+4.0	5.52E+1	3.84E+0
32.79	6.8000E+5	3.7218	0.8241	-3.0	5.543E+1	+3.9	5.53E+1	3.72E+0
32.97	6.9000E+5	3.7183	0.8236	-1.7	5.548E+1	+2.2	5.54E+1	2.11E+0
33.19	7.0000E+5	3.7147	0.8248	-1.4	5.565E+1	+1.8	5.56E+1	1.75E+0
33.39	7.1000E+5	3.7190	0.8248	-2.7	5.555E+1	+3.5	5.54E+1	3.36E+0
33.57	7.2000E+5	3.7199	0.8241	-3.1	5.546E+1	+4.0	5.53E+1	3.85E+0
33.80	7.3000E+5	3.7168	0.8256	-4.1	5.563E+1	+5.3	5.54E+1	5.11E+0
34.02	7.4000E+5	3.7122	0.8251	-1.3	5.572E+1	+1.7	5.57E+1	1.63E+0
34.20	7.5000E+5	3.7185	0.8255	-2.0	5.563E+1	+2.6	5.56E+1	2.49E+0
34.38	7.6000E+5	3.7188	0.8256	-2.2	5.563E+1	+2.8	5.56E+1	2.74E+0
34.57	7.7000E+5	3.7205	0.8266	-1.5	5.569E+1	+1.9	5.57E+1	1.87E+0
34.77	7.8000E+5	3.7095	0.8258	-2.5	5.582E+1	+3.2	5.57E+1	3.13E+0
34.97	7.9000E+5	3.7171	0.8286	-0.9	5.593E+1	+1.2	5.59E+1	1.13E+0
35.17	8.0000E+5	3.7134	0.8273	-2.4	5.588E+1	+3.1	5.58E+1	3.01E+0
35.37	8.1000E+5	3.7170	0.8280	-1.9	5.588E+1	+2.4	5.58E+1	2.38E+0
35.57	8.2000E+5	3.7149	0.8287	-1.3	5.599E+1	+1.7	5.60E+1	1.63E+0
35.77	8.3000E+5	3.7174	0.8289	-1.3	5.595E+1	+1.7	5.59E+1	1.63E+0
35.95	8.4000E+5	3.7100	0.8290	-2.4	5.609E+1	+3.1	5.60E+1	3.02E+0
36.13	8.5000E+5	3.7086	0.8283	-1.5	5.607E+1	+1.9	5.60E+1	1.89E+0
36.31	8.6000E+5	3.7061	0.8297	-1.1	5.625E+1	+1.4	5.62E+1	1.39E+0
36.50	8.7000E+5	3.7108	0.8296	-2.7	5.612E+1	+3.5	5.60E+1	3.40E+0
36.68	8.8000E+5	3.7042	0.8300	-1.7	5.630E+1	+2.2	5.63E+1	2.15E+0
36.86	8.9000E+5	3.7072	0.8313	-2.1	5.635E+1	+2.7	5.63E+1	2.66E+0
37.06	9.0000E+5	3.7026	0.8301	-4.7	5.629E+1	+6.1	5.60E+1	5.94E+0
37.26	9.1000E+5	3.7026	0.8314	-0.8	5.647E+1	+1.0	5.65E+1	1.02E+0
37.46	9.2000E+5	3.6969	0.8299	+0.0	5.644E+1	-0.0	5.64E+1	-0.00E+0
37.66	9.3000E+5	3.7028	0.8314	-2.0	5.645E+1	+2.6	5.64E+1	2.54E+0
37.86	9.4000E+5	3.6970	0.8317	-1.5	5.659E+1	+1.9	5.66E+1	1.91E+0
38.04	9.5000E+5	3.7007	0.8306	-1.2	5.642E+1	+1.5	5.64E+1	1.52E+0
38.23	9.6000E+5	3.7007	0.8321	-3.6	5.652E+1	+4.6	5.63E+1	4.58E+0
38.41	9.7000E+5	3.6956	0.8327	-3.0	5.669E+1	+3.9	5.66E+1	3.83E+0
38.58	9.8000E+5	3.6968	0.8321	-2.1	5.663E+1	+2.7	5.66E+1	2.68E+0
38.76	9.9000E+5	3.6953	0.8334	-1.6	5.678E+1	+2.1	5.67E+1	2.05E+0
38.96	1.0000E+6	3.6939	0.8330	-2.2	5.676E+1	+2.8	5.67E+1	2.81E+0
39.16	1.0100E+6	3.6953	0.8333	-1.8	5.676E+1	+2.3	5.67E+1	2.30E+0
39.36	1.0200E+6	3.6798	0.8325	-0.6	5.702E+1	+0.8	5.70E+1	7.72E-1
39.57	1.0300E+6	3.6925	0.8344	-0.4	5.693E+1	+0.5	5.69E+1	5.13E-1
39.79	1.0400E+6	3.6897	0.8342	-0.6	5.697E+1	+0.8	5.70E+1	7.71E-1
39.99	1.0500E+6	3.6897	0.8344	-2.1	5.697E+1	+2.7	5.69E+1	2.70E+0
40.17	1.0600E+6	3.6939	0.8338	-2.1	5.683E+1	+2.7	5.68E+1	2.69E+0
40.37	1.0700E+6	3.6883	0.8347	-1.7	5.703E+1	+2.2	5.70E+1	2.19E+0
40.57	1.0800E+6	3.6840	0.8351	-1.4	5.715E+1	+1.8	5.71E+1	1.81E+0
40.75	1.0900E+6	3.6840	0.8351	-2.2	5.714E+1	+2.8	5.71E+1	2.84E+0
40.94	1.1000E+6	3.6897	0.8355	-1.6	5.708E+1	+2.1	5.70E+1	2.06E+0
41.12	1.1100E+6	3.6854	0.8351	-1.6	5.712E+1	+2.1	5.71E+1	2.06E+0
41.30	1.1200E+6	3.6869	0.8354	-1.4	5.712E+1	+1.8	5.71E+1	1.80E+0
41.48	1.1300E+6	3.6854	0.8352	-0.6	5.714E+1	+0.8	5.71E+1	7.74E-1
41.67	1.1400E+6	3.6798	0.8359	-0.6	5.732E+1	+0.8	5.73E+1	7.77E-1
41.87	1.1500E+6	3.6826	0.8359	-1.7	5.725E+1	+2.2	5.72E+1	2.20E+0
42.05	1.1600E+6	3.6784	0.8365	-1.3	5.739E+1	+1.7	5.74E+1	1.69E+0
42.23	1.1700E+6	3.6770	0.8366	-3.8	5.739E+1	+4.9	5.72E+1	4.92E+0
42.42	1.1800E+6	3.6770	0.8368	+0.4	5.745E+1	-0.5	5.74E+1	-5.19E-1
42.60	1.1900E+6	3.6741	0.8359	-1.1	5.743E+1	+1.4	5.74E+1	1.43E+0
42.77	1.2000E+6	3.6713	0.8361	-2.4	5.748E+1	+3.1	5.74E+1	3.12E+0
42.95	1.2100E+6	3.6671	0.8369	-0.2	5.767E+1	+0.3	5.77E+1	2.61E-1
43.13	1.2200E+6	3.6685	0.8362	-1.5	5.757E+1	+1.9	5.75E+1	1.95E+0
43.31	1.2300E+6	3.6671	0.8374	-3.1	5.767E+1	+4.0	5.75E+1	4.04E+0
43.50	1.2400E+6	3.6699	0.8371	-3.8	5.757E+1	+4.9	5.74E+1	4.94E+0
43.68	1.2500E+6	3.6656	0.8382	-0.9	5.781E+1	+1.2	5.78E+1	1.18E+0
43.86	1.2600E+6	3.6557	0.8382	-2.0	5.800E+1	+2.6	5.79E+1	2.63E+0
44.06	1.2700E+6	3.6685	0.8371	-0.9	5.765E+1	+1.2	5.76E+1	1.17E+0
44.26	1.2800E+6	3.6755	0.8409	-0.2	5.785E+1	+0.3	5.78E+1	2.62E-1
44.46	1.2900E+6	3.6685	0.8415	-1.4	5.803E+1	+1.8	5.80E+1	1.84E+0
44.63	1.3000E+6	3.6713	0.8399	-1.4	5.784E+1	+1.8	5.78E+1	1.83E+0
44.81	1.3100E+6	3.6685	0.8403	-4.2	5.788E+1	+5.4	5.76E+1	5.49E+0
44.99	1.3200E+6	3.6727	0.8398	+0.5	5.780E+1	-0.6	5.78E+1	-6.54E-1
45.18	1.3300E+6	3.6671	0.8403	-1.2	5.796E+1	+1.6	5.79E+1	1.57E+0
45.34	1.3400E+6	3.6614	0.8409	-2.4	5.812E+1	+3.1	5.80E+1	3.16E+0
45.54	1.3500E+6	3.6656	0.8413	-1.0	5.808E+1	+1.3	5.81E+1	1.32E+0
45.74	1.3600E+6	3.6685	0.8406	-3.2	5.793E+1	+4.2	5.78E+1	4.19E+0
45.92	1.3700E+6	3.6628	0.8415	-0.5	5.816E+1	+0.6	5.82E+1	6.59E-1
46.12	1.3800E+6	3.6586	0.8405	+0.0	5.816E+1	-0.0	5.82E+1	-0.00E+0
46.31	1.3900E+6	3.6572	0.8415	-0.5	5.827E+1	+0.6	5.83E+1	6.60E-1
46.49	1.4000E+6	3.6557	0.8396	-3.0	5.811E+1	+3.9	5.80E+1	3.95E+0
46.67	1.4100E+6	3.6671	0.8406	-1.8	5.798E+1	+2.3	5.79E+1	2.36E+0
46.87	1.4200E+6	3.6543	0.8406	-0.8	5.825E+1	+1.0	5.82E+1	1.06E+0
47.07	1.4300E+6	3.6557	0.8415	-2.8	5.828E+1	+3.6	5.82E+1	3.70E+0
47.24	1.4400E+6	3.6529	0.8407	-0.3	5.830E+1	+0.4	5.83E+1	3.97E-1
47.42	1.4500E+6	3.6572	0.8410	-3.1	5.820E+1	+4.0	5.81E+1	4.09E+0
47.60	1.4600E+6	3.6557	0.8405	-1.6	5.821E+1	+2.1	5.82E+1	2.11E+0
47.79	1.4700E+6	3.6487	0.8419	-0.8	5.849E+1	+1.0	5.85E+1	1.06E+0
47.99	1.4800E+6	3.6473	0.8399	-1.1	5.834E+1	+1.4	5.83E+1	1.45E+0
48.19	1.4900E+6	3.6473	0.8405	-0.8	5.839E+1	+1.0	5.84E+1	1.06E+0
48.37	1.5000E+6	3.6444	0.8407	-2.4	5.846E+1	+3.1	5.84E+1	3.18E+0
48.54	1.5100E+6	3.6388	0.8409	-2.7	5.858E+1	+3.5	5.85E+1	3.59E+0
48.72	1.5200E+6	3.6416	0.8407	-0.8	5.853E+1	+1.0	5.85E+1	1.06E+0
48.88	1.5300E+6	3.6402	0.8416	-1.4	5.863E+1	+1.8	5.86E+1	1.86E+0
49.08	1.5400E+6	3.6331	0.8399	-1.1	5.863E+1	+1.4	5.86E+1	1.46E+0
49.30	1.5500E+6	3.6374	0.8420	-2.0	5.872E+1	+2.6	5.87E+1	2.67E+0
49.52	1.5600E+6	3.6331	0.8393	-1.4	5.858E+1	+1.8	5.85E+1	1.86E+0
49.75	1.5700E+6	3.6246	0.8400	+0.3	5.883E+1	-0.4	5.88E+1	-4.01E-1
49.92	1.5800E+6	3.6317	0.8412	-1.7	5.877E+1	+2.2	5.87E+1	2.27E+0
50.08	1.5900E+6	3.6260	0.8417	-0.3	5.895E+1	+0.4	5.89E+1	4.02E-1
50.28	1.6000E+6	3.6289	0.8412	-0.3	5.884E+1	+0.4	5.88E+1	4.01E-1
50.48	1.6100E+6	3.6232	0.8405	-1.2	5.889E+1	+1.6	5.89E+1	1.61E+0
50.66	1.6200E+6	3.6260	0.8399	+0.0	5.878E+1	-0.0	5.88E+1	-0.00E+0
50.85	1.6300E+6	3.6275	0.8413	-2.3	5.886E+1	+3.0	5.88E+1	3.07E+0
51.01	1.6400E+6	3.6232	0.8406	+0.3	5.891E+1	-0.4	5.89E+1	-4.02E-1
51.20	1.6500E+6	3.6133	0.8403	-0.9	5.909E+1	+1.2	5.91E+1	1.21E+0
51.38	1.6600E+6	3.6176	0.8405	-1.8	5.900E+1	+2.3	5.90E+1	2.41E+0
51.56	1.6700E+6	3.6176	0.8386	-2.7	5.882E+1	+3.5	5.87E+1	3.61E+0
51.76	1.6800E+6	3.6077	0.8386	-0.9	5.905E+1	+1.2	5.90E+1	1.21E+0
51.93	1.6900E+6	3.6147	0.8389	+0.9	5.893E+1	-1.2	5.89E+1	-1.21E+0
52.13	1.7000E+6	3.6105	0.8388	+2.4	5.899E+1	-3.1	5.89E+1	-3.22E+0
52.31	1.7100E+6	3.6147	0.8391	+0.0	5.895E+1	-0.0	5.89E+1	-0.00E+0
52.49	1.7200E+6	3.6034	0.8391	-2.8	5.916E+1	+3.6	5.90E+1	3.77E+0
52.69	1.7300E+6	3.6034	0.8405	-0.6	5.932E+1	+0.8	5.93E+1	8.10E-1
52.88	1.7400E+6	3.5963	0.8378	-1.6	5.921E+1	+2.1	5.92E+1	2.16E+0
53.08	1.7500E+6	3.6062	0.8391	-0.6	5.913E+1	+0.8	5.91E+1	8.07E-1
53.26	1.7600E+6	3.5963	0.8379	-1.9	5.922E+1	+2.5	5.92E+1	2.56E+0
53.44	1.7700E+6	3.6006	0.8376	-0.6	5.912E+1	+0.8	5.91E+1	8.07E-1
53.62	1.7800E+6	3.6077	0.8398	-0.6	5.916E+1	+0.8	5.92E+1	8.07E-1
53.86	1.7900E+6	3.5935	0.8386	+0.6	5.936E+1	-0.8	5.94E+1	-8.11E-1
54.07	1.8000E+6	3.5893	0.8372	-2.0	5.931E+1	+2.6	5.92E+1	2.70E+0
54.26	1.8100E+6	3.5935	0.8381	-0.7	5.931E+1	+0.9	5.93E+1	9.45E-1
54.44	1.8200E+6	3.5893	0.8402	+1.0	5.959E+1	-1.3	5.96E+1	-1.36E+0
54.64	1.8300E+6	3.6006	0.8400	-1.3	5.933E+1	+1.7	5.93E+1	1.76E+0
54.81	1.8400E+6	3.5949	0.8405	+0.0	5.950E+1	-0.0	5.95E+1	-0.00E+0
55.19	1.8500E+6	3.5907	0.8388	-1.7	5.942E+1	+2.2	5.94E+1	2.30E+0
55.35	1.8600E+6	3.5921	0.8400	+0.7	5.952E+1	-0.9	5.95E+1	-9.49E-1
55.52	1.8700E+6	3.5879	0.8385	+0.7	5.947E+1	-0.9	5.95E+1	-9.48E-1
55.70	1.8800E+6	3.5907	0.8382	+0.7	5.938E+1	-0.9	5.94E+1	-9.46E-1
55.87	1.8900E+6	3.5879	0.8393	+1.4	5.954E+1	-1.8	5.95E+1	-1.90E+0
56.05	1.9000E+6	3.5723	0.8378	-1.4	5.974E+1	+1.8	5.97E+1	1.91E+0
56.25	1.9100E+6	3.5879	0.8385	+0.7	5.947E+1	-0.9	5.95E+1	-9.48E-1
56.43	1.9200E+6	3.5864	0.8395	+0.3	5.959E+1	-0.4	5.96E+1	-4.07E-1
56.62	1.9300E+6	3.5765	0.8374	-2.4	5.959E+1	+3.1	5.95E+1	3.26E+0
56.82	1.9400E+6	3.5808	0.8381	-0.3	5.958E+1	+0.4	5.96E+1	4.07E-1
57.00	1.9500E+6	3.5652	0.8359	-0.7	5.972E+1	+0.9	5.97E+1	9.53E-1
57.18	1.9600E+6	3.5709	0.8372	-1.1	5.972E+1	+1.4	5.97E+1	1.50E+0
57.35	1.9700E+6	3.5780	0.8388	-1.1	5.971E+1	+1.4	5.97E+1	1.50E+0
57.53	1.9800E+6	3.5610	0.8362	+0.0	5.985E+1	-0.0	5.98E+1	-0.00E+0
57.71	1.9900E+6	3.5709	0.8372	-0.4	5.972E+1	+0.5	5.97E+1	5.45E-1
57.88	2.0000E+6	3.5666	0.8365	-2.5	5.972E+1	+3.3	5.96E+1	3.40E+0
58.05	2.0100E+6	3.5582	0.8351	+0.7	5.980E+1	-0.9	5.98E+1	-9.55E-1
58.23	2.0200E+6	3.5666	0.8383	+0.0	5.992E+1	-0.0	5.99E+1	-0.00E+0
58.41	2.0300E+6	3.5567	0.8342	+0.7	5.975E+1	-0.9	5.97E+1	-9.54E-1
58.60	2.0400E+6	3.5638	0.8357	+0.0	5.973E+1	-0.0	5.97E+1	-0.00E+0
58.76	2.0500E+6	3.5440	0.8325	-1.5	5.987E+1	+2.0	5.98E+1	2.05E+0
58.96	2.0600E+6	3.5539	0.8328	-0.7	5.968E+1	+0.9	5.97E+1	9.52E-1
59.14	2.0700E+6	3.5525	0.8351	+0.0	5.993E+1	-0.0	5.99E+1	-0.00E+0
59.33	2.0800E+6	3.5497	0.8316	+1.1	5.965E+1	-1.4	5.96E+1	-1.50E+0
59.53	2.0900E+6	3.5567	0.8342	-1.1	5.975E+1	+1.4	5.97E+1	1.50E+0
59.73	2.1000E+6	3.5426	0.8327	+1.5	5.991E+1	-2.0	5.99E+1	-2.05E+0
59.92	2.1100E+6	3.5454	0.8317	-0.8	5.976E+1	+1.0	5.98E+1	1.09E+0
60.09	2.1200E+6	3.5369	0.8316	+0.0	5.994E+1	-0.0	5.99E+1	-0.00E+0
60.26	2.1300E+6	3.5313	0.8337	-0.4	6.026E+1	+0.5	6.03E+1	5.51E-1
60.44	2.1400E+6	3.5468	0.8331	-0.4	5.986E+1	+0.5	5.99E+1	5.46E-1
60.61	2.1500E+6	3.5355	0.8306	-0.4	5.987E+1	+0.5	5.99E+1	5.46E-1
60.79	2.1600E+6	3.5341	0.8321	+2.3	6.003E+1	-3.0	6.00E+1	-3.15E+0
60.95	2.1700E+6	3.5242	0.8296	+2.0	6.002E+1	-2.6	6.00E+1	-2.74E+0
61.14	2.1800E+6	3.5228	0.8307	+1.2	6.017E+1	-1.6	6.01E+1	-1.65E+0
61.32	2.1900E+6	3.5186	0.8296	-0.8	6.016E+1	+1.0	6.01E+1	1.10E+0
61.52	2.2000E+6	3.5186	0.8283	+0.0	6.004E+1	-0.0	6.00E+1	-0.00E+0
61.69	2.2100E+6	3.5101	0.8267	+1.6	6.007E+1	-2.1	6.00E+1	-2.19E+0
61.87	2.2200E+6	3.5171	0.8287	+0.0	6.011E+1	-0.0	6.01E+1	-0.00E+0
62.05	2.2300E+6	3.5143	0.8277	+0.0	6.008E+1	-0.0	6.01E+1	-0.00E+0
62.22	2.2400E+6	3.5228	0.8292	+1.2	6.002E+1	-1.6	6.00E+1	-1.64E+0
62.40	2.2500E+6	3.5087	0.8273	+0.4	6.017E+1	-0.5	6.02E+1	-5.50E-1
62.60	2.2600E+6	3.5270	0.8317	+1.6	6.016E+1	-2.1	6.01E+1	-2.20E+0
62.81	2.2700E+6	3.5101	0.8273	+0.8	6.013E+1	-1.0	6.01E+1	-1.10E+0
63.00	2.2800E+6	3.5115	0.8280	+0.8	6.017E+1	-1.0	6.02E+1	-1.10E+0
63.19	2.2900E+6	3.5129	0.8292	+0.0	6.025E+1	-0.0	6.02E+1	-0.00E+0
63.35	2.3000E+6	3.5115	0.8273	+1.2	6.010E+1	-1.6	6.01E+1	-1.65E+0
63.53	2.3100E+6	3.5087	0.8290	+2.5	6.030E+1	-3.3	6.02E+1	-3.44E+0
63.72	2.3200E+6	3.5115	0.8273	-0.8	6.010E+1	+1.0	6.01E+1	1.10E+0
63.90	2.3300E+6	3.5030	0.8272	+0.0	6.028E+1	-0.0	6.03E+1	-0.00E+0
64.06	2.3400E+6	3.5087	0.8252	+0.8	5.996E+1	-1.0	6.00E+1	-1.09E+0
64.25	2.3500E+6	3.5002	0.8241	+0.4	6.005E+1	-0.5	6.00E+1	-5.48E-1
64.43	2.3600E+6	3.4959	0.8239	+0.4	6.013E+1	-0.5	6.01E+1	-5.49E-1
64.60	2.3700E+6	3.4790	0.8258	-1.7	6.068E+1	+2.2	6.06E+1	2.36E+0
64.81	2.3800E+6	3.4945	0.8251	+1.3	6.026E+1	-1.7	6.02E+1	-1.79E+0
64.98	2.3900E+6	3.4875	0.8232	-1.3	6.025E+1	+1.7	6.02E+1	1.79E+0
65.18	2.4000E+6	3.4959	0.8266	+2.6	6.036E+1	-3.4	6.03E+1	-3.58E+0
65.39	2.4100E+6	3.4804	0.8225	+0.9	6.034E+1	-1.2	6.03E+1	-1.24E+0
65.58	2.4200E+6	3.4889	0.8231	+1.3	6.020E+1	-1.7	6.02E+1	-1.79E+0
65.75	2.4300E+6	3.4818	0.8232	+2.6	6.036E+1	-3.4	6.02E+1	-3.58E+0
65.91	2.4400E+6	3.4761	0.8208	+1.3	6.027E+1	-1.7	6.02E+1	-1.79E+0
66.10	2.4500E+6	3.4945	0.8236	+0.9	6.013E+1	-1.2	6.01E+1	-1.24E+0
66.30	2.4600E+6	3.4733	0.8207	+1.3	6.032E+1	-1.7	6.03E+1	-1.79E+0
66.49	2.4700E+6	3.4846	0.8210	+0.9	6.010E+1	-1.2	6.01E+1	-1.23E+0
66.66	2.4800E+6	3.4705	0.8202	+0.4	6.035E+1	-0.5	6.03E+1	-5.52E-1
66.83	2.4900E+6	3.4648	0.8187	+0.4	6.033E+1	-0.5	6.03E+1	-5.51E-1
67.03	2.5000E+6	3.4648	0.8181	+2.7	6.025E+1	-3.5	6.01E+1	-3.71E+0
67.19	2.5100E+6	3.4691	0.8170	+1.4	6.006E+1	-1.8	6.00E+1	-1.92E+0
67.38	2.5200E+6	3.4634	0.8167	+0.9	6.017E+1	-1.2	6.02E+1	-1.24E+0
67.56	2.5300E+6	3.4606	0.8166	+0.0	6.022E+1	-0.0	6.02E+1	-0.00E+0
67.73	2.5400E+6	3.4493	0.8147	+1.8	6.029E+1	-2.4	6.02E+1	-2.48E+0
67.91	2.5500E+6	3.4578	0.8152	+2.3	6.013E+1	-3.0	6.00E+1	-3.16E+0
68.08	2.5600E+6	3.4507	0.8142	+1.4	6.021E+1	-1.8	6.02E+1	-1.93E+0
68.24	2.5700E+6	3.4422	0.8133	+0.5	6.033E+1	-0.7	6.03E+1	-6.89E-1
68.40	2.5800E+6	3.4380	0.8129	+2.8	6.036E+1	-3.7	6.02E+1	-3.86E+0
68.57	2.5900E+6	3.4408	0.8147	+0.5	6.050E+1	-0.7	6.05E+1	-6.92E-1
